iralcfy,irmjfy,Cigarette_Frequency_Month,IRSMKLSS30N,Alcohol_Frequency_Month,Marijuana_Frequency_Month,ircigage,Smokeless_Tobacco_Frequency_Month,Alcohol_Age_First_Use,Marijuana_Age_First_Use,Marijuana_Flag,Alcohol_Flag,Tobacco_Flag,alcydays,mrjydays,Alcohol_Days,mrjmdays,cigmdays,smklsmdays,School_Feelings,Teacher_Recognition,Average_Grade,stndscig,Students_Using_Marijuana,stndalc,stnddnk,Parents_Checking_Homework,parhlphw,PRCHORE2,PRLMTTV2,parlmtsn,PRGDJOB2,PRPROUD2,Argue_with_Parent,Youth_Fight_School,Youth_Group_Fight,Youth_Carry_Gun,Youth_Sell_Drugs,YOSTOLE2,YOATTAK2,PRPKCIG2,Parents_Marijuana_View,prmjmo,PRALDLY2,YFLPKCG2,Peer_Marijuana_View,Peer_Marijuana_Monthly,YFLADLY2,FRDPCIG2,Friends_Marijuana_View,Friends_Marijuana_Monthly,FRDADLY2,talkprob,PRTALK3,PRBSOLV2,PREVIOL2,PRVDRGO2,GRPCNSL2,PREGPGM2,YTHACT2,DRPRVME3,ANYEDUC3,rlgattd,rlgimpt,rlgdcsn,Friends_religious_beliefs,Gender,Race_Hispanicity,Overall_Health,eduschlgo,Current_Grade,Days_Missed_School,Mother_Presence,Father_Presence,Total_Income,govtprog,POVERTY3,Population_Density_2010,County_Type
993,991,91,91,93.0,91.0,991,991,12,991,0,1,0,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,3.0,1,5,0,1,1,4,2,3,2,2
991,991,91,91,91.0,91.0,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,2.0,1,5,0,1,1,4,2,3,1,1
993,993,93,91,93.0,93.0,13,991,13,13,1,1,1,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1,5,2.0,1,4,0,1,1,4,1,3,1,1
991,991,91,91,91.0,91.0,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2,5,1.0,1,7,0,1,1,2,2,1,2,2
991,991,91,91,91.0,91.0,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2,1,1.0,1,3,0,1,1,4,2,3,2,2
991,991,91,91,91.0,91.0,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1,6,2.0,1,8,0,1,2,4,2,3,1,1
3,991,91,91,93.0,91.0,991,991,12,991,0,1,0,1,6,5,5,6,5,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,,,1.0,,1,7,3.0,1,4,8,1,1,2,1,1,2,2
991,991,91,91,91.0,91.0,991,991,991,991,0,0,0,6,6,5,5,6,5,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,3,0,2,1,4,2,3,2,2
12,991,91,93,1.0,91.0,991,13,13,991,0,1,1,2,6,1,5,6,5,1,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1,6,0,1,1,3,2,3,2,2
991,228,1,91,91.0,1.0,13,991,991,11,1,0,1,6,4,5,1,1,5,2,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,2,3.0,1,5,1,1,2,1,1,1,1,1
993,3,91,91,93.0,93.0,991,991,13,13,1,1,1,6,1,5,5,6,5,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2,2,2.0,1,6,0,2,2,1,1,1,1,1
36,52,93,91,4.0,12.0,15,991,13,15,1,1,1,2,3,2,3,6,5,2,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,3.0,1,7,0,1,1,3,2,3,2,3
993,3,91,91,93.0,93.0,991,991,15,15,1,1,0,6,1,5,5,6,5,2,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,1.0,1,6,2,1,1,3,2,3,1,1
1,991,91,91,93.0,91.0,991,991,16,991,0,1,0,1,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1,7,0,1,1,4,2,3,2,1
991,991,91,91,91.0,91.0,991,991,991,991,0,0,0,6,6,5,5,6,5,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,2.0,1,3,0,1,1,2,2,2,2,2
